,"Код
Инструмента","Наименование
Инструмента","Базис
поставки","Объем
Договоров
в единицах
измерения","Обьем
Договоров,
руб.","Изменение рыночной
цены к цене
предыдуего дня",Col6,"Цена (за единицу измерения), руб.",Col8,Col9,Col10,"Цена в Заявках (за единицу
измерения)",Col12,"Количество
Договоров,
шт."
0,,,,,,Руб.,%,Минимальная,Средневзвешенная,Максимальная,Рыночная,"Лучшее
предложение","Лучший
295,M30AANK065F,"Мазут топочный М100 1,5 малозольный, не облагаемый
акцизом, Ангарск-группа станций (ст. отправления)","Ангарск-группа
станций",-,-,-,-,-,-,-,37423,37000,-,-
296,M30ANOV065F,"Мазут топочный М100 1,5 малозольный, не облагаемый
акцизом, ст. Новая Еловка (ст. отправления)",ст. Новая Еловка,520,16484000,-115,"-0,36",31700,31700,31700,31700,31700,31700,7
297,M60AALL065F,"Мазут топочный М100 3,0 зольный, не облагаемый акцизом,
ст. Аллагуват (ст. отправления)",ст. Аллагуват,130,2294500,350,"1,98",17650,17650,17650,17650,17650,17750,1
298,M60AALL065J,"Мазут топочный М100 3,0 зольный, не облагаемый акцизом,
ст. Аллагуват (ст. отправления ОТП)",ст. Аллагуват,130,2301000,233,"1,32",17700,17700,17700,17700,17700,17715,1
299,M60ASSI065F,"Мазут топочный М100 3,0 зольный, не облагаемый акцизом,
Саратов-группа станций (ст. отправления)","Саратов-группа
станций",390,6115135,1285,"8,2",15511,15680,15911,15680,15466,15911,6
300,M60AYAI065F,"Мазут топочный М100 3,0 зольный, не облагаемый акцизом,
ст. Яничкино (ст. отправления)",ст. Яничкино,390,6134830,1279,"8,13",15500,15730,16351,15730,14000,16400,5
301,M70ASAU065F,"Мазут топочный М100 3,5 зольный, не облагаемый акцизом,
Самара-группа станций (ст. отправления)","Самара-группа
станций",1690,26469365,506,"3,23",15556,15662,15722,15662,15556,16600,18
302,M70AUFM065F,"Мазут топочный М100 3,5 зольный, не облагаемый акцизом,
Уфа-группа станций (ст. отправления)",Уфа-группа станций,195,2886000,-258,"-1,74",14800,14800,14800,14800,14800,14800,1
303,OBRENMP025A,"Масло базовое остаточное селективной очистки, НЗМиП
(самовывоз автотранспортом)",НЗМиП,-,-,-,-,-,-,-,-,-,72000,-
304,OBRESAU060F,"Масло базовое остаточное селективной очистки, Самара-
группа станций (ст. отправления)","Самара-группа
станций",60,4320000,-,-,72000,72000,72000,72000,72000,72000,1
305,OD14UFM065F,"Масло моторное М-14В2, Уфа-группа станций (ст.
отправления)",Уфа-группа станций,-,-,-,-,-,-,-,-,84000,-,-
306,OESCBHF025A,"Экстракт нефтяной марка C, Башнефть-Новойл (самовывоз
автотранспортом)",Башнефть-Новойл,-,-,-,-,-,-,-,-,-,43600,-
307,OES-SAU060F,"Экстракт селективной очистки, Самара-группа станций (ст.
отправления)","Самара-группа
станций",-,-,-,-,-,-,-,-,-,33000,-
308,OES6SAU060F,"Экстракт остаточный селективной очистки ПН-6к, Самара-
группа станций (ст. отправления)","Самара-группа
станций",60,3000000,-,-,50000,50000,50000,50000,50000,50000,1
309,OGACSAU060F,"Гач дистиллятный, Самара-группа станций (ст. отправления)","Самара-группа
станций",-,-,-,-,-,-,-,-,41500,-,-
310,OIBSUFM065F,"Масло базовое BS150, Уфа-группа станций (ст. отправления)",Уфа-группа станций,-,-,-,-,-,-,-,-,85100,-,-
311,OII5NMP025A,"Масло индустриальное И-50А, НЗМиП (самовывоз
автотранспортом)",НЗМиП,-,-,-,-,-,-,-,-,-,63610,-
312,OILBNVY060F,"Масло базовое BS, ст. Новоярославская (ст. отправления)",ст. Новоярославская,-,-,-,-,-,-,-,-,85200,-,-
313,OILBSLF025A,"Масло базовое BS, Ярославнефтеоргсинтез (самовывоз а/т)","Ярославнефтеоргсин
тез",-,-,-,-,-,-,-,-,85200,-,-
314,OILNSLF025A,"Масло базовое SN-150, Ярославнефтеоргсинтез (самовывоз
а/т)","Ярославнефтеоргсин
тез",-,-,-,-,-,-,-,-,-,75000,-
315,OILSNVY060F,"Масло базовое SN-80, ст. Новоярославская (ст. отправления)",ст. Новоярославская,-,-,-,-,-,-,-,-,71600,-,-
316,OILVSLF025A,"Масло базовое HVI-4, Ярославнефтеоргсинтез (самовывоз а/т)","Ярославнефтеоргсин
тез",-,-,-,-,-,-,-,-,-,100600,-
317,OIL2SLF025A,"Масло базовое MVI-2, Ярославнефтеоргсинтез (самовывоз
а/т)","Ярославнефтеоргсин
тез",-,-,-,-,-,-,-,-,-,75000,-
318,OIL4SLF025A,"Масло базовое SN-400, Ярославнефтеоргсинтез (самовывоз
а/т)","Ярославнефтеоргсин
тез",-,-,-,-,-,-,-,-,-,73000,-
319,OI12NVY060F,"Масло индустриальное И-12А, ст. Новоярославская (ст.
отправления)",ст. Новоярославская,-,-,-,-,-,-,-,-,71600,-,-
320,OI2AANK065F,"Масло индустриальное И-20А, Ангарск-группа станций (ст.
отправления)","Ангарск-группа
станций",-,-,-,-,-,-,-,-,-,83000,-
321,OI2ASLF025A,"Масло индустриальное И-20А, Ярославнефтеоргсинтез
(самовывоз а/т)","Ярославнефтеоргсин
тез",-,-,-,-,-,-,-,-,-,73000,-
322,OI2AUFM065F,"Масло индустриальное И-20А, Уфа-группа станций (ст.
отправления)",Уфа-группа станций,-,-,-,-,-,-,-,63100,63100,-,-
323,OI4AANK065F,"Масло индустриальное И-40А, Ангарск-группа станций (ст.
отправления)","Ангарск-группа
станций",260,16471000,150,"0,24",63200,63350,63500,63350,63200,64000,4
324,OI4AUFM065F,"Масло индустриальное И-40А, Уфа-группа станций (ст.
отправления)",Уфа-группа станций,195,12967500,-,-,66500,66500,66500,66500,66500,66500,3
325,OI5AANK065F,"Масло индустриальное И-50А, Ангарск-группа станций (ст.
отправления)","Ангарск-группа
станций",-,-,-,-,-,-,-,-,-,60000,-
326,OI5ASAU060F,"Масло индустриальное И-50А, Самара-группа станций (ст.
отправления)","Самара-группа
станций",-,-,-,-,-,-,-,63100,63100,-,-
327,OKSNUFM065F,"Масло компрессорное из сернистых нефтей КС-19, Уфа-группа
станций (ст. отправления)",Уфа-группа станций,-,-,-,-,-,-,-,-,76400,-,-
328,OLE2NMP025A,"Масло индустриальное И-20А, НЗМиП (самовывоз
автотранспортом)",НЗМиП,-,-,-,-,-,-,-,-,-,62500,-
329,OLE2SAU060F,"Масло индустриальное И-20А, Самара-группа станций (ст.
отправления)","Самара-группа
станций",120,7572000,-,-,63100,63100,63100,63100,63100,63100,2
330,OLE4SAU060F,"Масло индустриальное И-40А, Самара-группа станций (ст.
отправления)","Самара-группа
станций",-,-,-,-,-,-,-,-,66500,-,-
331,OMS0BZI065J,"Масло моторное М-10Г2, ст. Бензин (ст. отправления ОТП)",ст. Бензин,-,-,-,-,-,-,-,-,85000,-,-
332,OMS1BZI065J,"Масло моторное М-10Г2К, ст. Бензин (ст. отправления ОТП)",ст. Бензин,-,-,-,-,-,-,-,-,85000,-,-
333,OMS2BZI065J,"Масло моторное М-10ДМ, ст. Бензин (ст. отправления ОТП)",ст. Бензин,-,-,-,-,-,-,-,-,88000,-,-
334,OMS3BZI065J,"Масло моторное М-14В2, ст. Бензин (ст. отправления ОТП)",ст. Бензин,-,-,-,-,-,-,-,-,84000,-,-
335,OMS5BZI065J,"Масло моторное М-16Г2ЦС, ст. Бензин (ст. отправления ОТП)",ст. Бензин,-,-,-,-,-,-,-,-,84000,-,-
336,OMS6BZI065J,"Масло моторное М-8ДМ, ст. Бензин (ст. отправления ОТП)",ст. Бензин,-,-,-,-,-,-,-,-,90000,-,-
337,OMS9BZI065J,"Масло моторное М-8Г2к, ст. Бензин (ст. отправления ОТП)",ст. Бензин,-,-,-,-,-,-,-,-,88000,-,-
338,OMYANVY060F,"Мягчитель ЯПП-М, ст. Новоярославская (ст. отправления)",ст. Новоярославская,-,-,-,-,-,-,-,-,50800,-,-
339,OMYASLF025A,"Мягчитель ЯПП-М, Ярославнефтеоргсинтез (самовывоз а/т)","Ярославнефтеоргсин
тез",-,-,-,-,-,-,-,-,50800,-,-
340,OMYPSLF025A,"Мягчитель ЯПП, Ярославнефтеоргсинтез (самовывоз а/т)","Ярославнефтеоргсин
тез",-,-,-,-,-,-,-,50800,-,-,-
341,OMZTSAU065F,"Мазут-Т, не облагаемый акцизом, Самара-группа станций (ст.
отправления)","Самара-группа
станций",-,-,-,-,-,-,-,-,39500,-,-
342,OM2FUFM065F,"Масло моторное М-8Г2к, Уфа-группа станций (ст.
отправления)",Уфа-группа станций,-,-,-,-,-,-,-,-,88000,-,-
343,OM8BUFM065F,"Масло моторное М-8В, Уфа-группа станций (ст. отправления)",Уфа-группа станций,-,-,-,-,-,-,-,-,87000,-,-
344,OM8DUFM065F,"Масло моторное М-8ДМ, Уфа-группа станций (ст. отправления)",Уфа-группа станций,-,-,-,-,-,-,-,-,90000,-,-
345,OPNSSAU060F,"Парафин нефтяной спичечный Нс, Самара-группа станций (ст.
отправления)","Самара-группа
станций",-,-,-,-,-,-,-,-,48000,-,-
346,OPN6BHF025A,"Масло ПН-6 марка ПН-6к, Башнефть-Новойл (самовывоз
автотранспортом)",Башнефть-Новойл,-,-,-,-,-,-,-,-,-,45900,-
347,OPN6UFM065F,"Масло ПН-6 марка ПН-6к, Уфа-группа станций (ст.
отправления)",Уфа-группа станций,-,-,-,-,-,-,-,-,45900,-,-
348,ORKNKII063S,"Ортоксилол нефтяной, ст. Кириши (самовывоз ж/д)",ст. Кириши,-,-,-,-,-,-,-,-,-,91500,-
349,ORKNUFM060F,"Ортоксилол нефтяной, Уфа-группа станций (ст. отправления)",Уфа-группа станций,120,10860000,500,"0,55",90000,90500,91000,90500,90000,91000,2
350,OTA-UFM065F,"Масло-теплоносительное ароматизированное АМТ-300, Уфа-
группа станций (ст. отправления)",Уфа-группа станций,-,-,-,-,-,-,-,-,65850,-,-
351,OTRAANK065F,"Масло трансформаторное ГК, Ангарск-группа станций (ст.
отправления)","Ангарск-группа
станций",65,5219500,-,-,80300,80300,80300,80300,80300,80300,1
352,O10FUFM065F,"Масло моторное М-10Г2К, Уфа-группа станций (ст.
отправления)",Уфа-группа станций,-,-,-,-,-,-,-,-,85000,-,-
353,O10-UFM065F,"Масло моторное М-10Г2, Уфа-группа станций (ст.
отправления)",Уфа-группа станций,-,-,-,-,-,-,-,-,85000,-,-
354,O16GUFM065F,"Масло моторное М-16Г2ЦС, Уфа-группа станций (ст.
отправления)",Уфа-группа станций,-,-,-,-,-,-,-,-,84000,-,-
355,PCANPDK066F,"Кокс нефтяной анодный марка Б, Предкомбинатская-группа
станций (ст. отправления)","Предкомбинатская-
группа станций",132,1188000,-,-,9000,9000,9000,9000,9000,9000,1
356,PCAWKII040S,"Аммиак безводный сжиженный, марка Б, ст. Кириши
(самовывоз ж/д)",ст. Кириши,-,-,-,-,-,-,-,-,-,18972,-
357,PCAZANU020A,"Газы углеводородные сжиженные для автомобильного
транспорта, Тюменский НПЗ (самовывоз автотранспортом)",Тюменский НПЗ,60,1590000,-,-,26500,26500,26500,26500,26500,28500,2
358,PCA1ANK040S,"Спирт бутиловый нормальный технический марка А высший
сорт, Ангарск-группа станций (самовывоз ж/д)","Ангарск-группа
станций",-,-,-,-,-,-,-,-,-,44000,-
359,PCA1ANK065F,"Спирт бутиловый нормальный технический марка А высший
сорт, Ангарск-группа станций (ст. отправления)","Ангарск-группа
станций",-,-,-,-,-,-,-,-,-,37000,-
360,PCA2AZP005A,"Полистирол вспенивающийся ПСВ-СВ-НМ-МД, Ангарский
завод полимеров (самовывоз автотранспортом)","Ангарский завод
полимеров",-,-,-,-,-,-,-,-,40000,-,-
361,PCA4AZP020A,"Полистирол вспенивающийся ПСВ-СВ-НМ-Р-О марка 4-0,3
второй сорт, Ангарский завод полимеров (самовывоз
автотранспортом)","Ангарский завод
полимеров",-,-,-,-,-,-,-,-,-,80000,-
362,PCA6AZP020A,"Сырьё полиэтиленовое вторичное (гранулят) (поставка в
фасованном виде - мешок 25 кг), Ангарский завод полимеров
(самовывоз автотранспортом)","Ангарский завод
полимеров",-,-,-,-,-,-,-,-,-,86100,-
363,PCA7AZP020A,"Полистирол вспенивающийся ПСВ-СВ-НМ-Р-О марка 6-0,8
первый сорт, Ангарский завод полимеров (самовывоз
автотранспортом)","Ангарский завод
полимеров",-,-,-,-,-,-,-,-,-,92000,-
364,PCA8AZP020A,"Полистирол вспенивающийся ПСВ-СВ-НМ-Р-О марка 2-1,25
первый сорт, Ангарский завод полимеров (самовывоз
автотранспортом)","Ангарский завод
полимеров",-,-,-,-,-,-,-,-,-,77000,-
365,PCA9AZP020A,"Полистирол вспенивающийся ПСВ-СВ-НМ-15 первый сорт,
Ангарский завод полимеров (самовывоз автотранспортом)","Ангарский завод
полимеров",60,4200000,-,-,70000,70000,70000,70000,70000,70000,3
366,PCBANPT025A,"Фракция нормального бутана марка А, ТАНЕКО (самовывоз
автотранспортом)",ТАНЕКО,-,-,-,-,-,-,-,-,34000,-,-
367,PCBAPDK040F,"Фракция нормального бутана марка А, Предкомбинатская-
группа станций (ст. отправления)","Предкомбинатская-
группа станций",40,1320000,-1000,"-3,03",33000,33000,33000,33000,33000,33000,1
368,PCBCPDK042F,"Фракция бутан-бутиленовая марка А, Предкомбинатская-
группа станций (ст. отправления)","Предкомбинатская-
группа станций",-,-,-,-,-,-,-,-,25000,-,-
369,PCBDSAU034F,"Фракция бутан-бутиленовая марка Б, Самара-группа станций
(ст. отправления)","Самара-группа
станций",-,-,-,-,-,-,-,-,-,20000,-
370,PCBMTUJ034F,"Фракция нормального бутана марка высшая, ст. Туймазы (ст.
отправления)",ст. Туймазы,-,-,-,-,-,-,-,-,-,20000,-
371,PCBURUY060W,"Нефрас С2-80/120 высший сорт, ст. Рудня-Экспорт
(промежуточная станция)",ст. Рудня-Экспорт,-,-,-,-,-,-,-,-,105000,88000,-
372,PCBUZAH060W,"Нефрас С2-80/120 высший сорт, ст. Завережье-Экспорт
(промежуточная станция)","ст. Завережье-
Экспорт",-,-,-,-,-,-,-,-,105000,-,-
373,PCB3AZP020A,"Полиэтилен высокого давления марка 10803-020 второй сорт
пленочный (поставка в фасованном виде - мешок 25 кг),
Ангарский завод полимеров (самовывоз автотранспортом)","Ангарский завод
полимеров",-,-,-,-,-,-,-,-,-,120300,-
374,PCB6AZP020A,"Полиэтилен высокого давления марка 10803-020 первый сорт
пленочный (поставка в фасованном виде - мешок 25 кг),
Ангарский завод полимеров (самовывоз автотранспортом)","Ангарский завод
полимеров",-,-,-,-,-,-,-,-,-,120601,-
375,PCB9PDK039F,"Фракция пропан-пропиленовая марка Б, Предкомбинатская-
группа станций (ст. отправления)","Предкомбинатская-
группа станций",39,752739,-359,"-1,86",19301,19301,19301,19301,19301,21800,1
376,PCDAANK027F,"Диметиламин технический, Ангарск-группа станций (ст.
отправления)","Ангарск-группа
станций",-,-,-,-,-,-,-,-,135000,-,-
377,PCDJSBU022A,"Этиленгликоль высший сорт, СИБУР-Нефтехим (самовывоз
автотранспортом)",СИБУР-Нефтехим,-,-,-,-,-,-,-,-,-,96500,-
378,PCEDSAD018C,"Эфир диизопропиловый второй сорт, Самара БП (ст.
назначения)",Самара БП,36,3780000,-,-,105000,105000,105000,105000,105000,105000,1
379,PCEKPUF005A,"Каучук СКЭПТ-50, (1 лот = 5 т), Уфаоргсинтез (самовывоз
автотранспортом)",Уфаоргсинтез,15,3470005,6470,"2,8",228000,231334,235000,231334,224864,235000,3
380,PCENSAD030C,"Натр едкий технический марка РД высший сорт, Самара БП
(ст. назначения)",Самара БП,-,-,-,-,-,-,-,98820,-,-,-
381,PCFANVY060F,"Фракция ароматических углеводородов, ст. Новоярославская
(ст. отправления)",ст. Новоярославская,-,-,-,-,-,-,-,-,-,63000,-
382,PCFCNVO023A,"Фенол синтетический технический марка А,
Новокуйбышевская НХК (самовывоз автотранспортом)","Новокуйбышевская
НХК",-,-,-,-,-,-,-,-,80000,74000,-
383,PCFCSAU050F,"Фенол синтетический технический марка А (1 лот = 50 т),
Самара-группа станций (ст. отправления)","Самара-группа
станций",200,16000000,-,-,80000,80000,80000,80000,80000,80000,4
384,PCFCSAU050S,"Фенол синтетический технический марка А (1 лот = 50 т),
Самара-группа станций (самовывоз ж/д)","Самара-группа
станций",50,4000000,-,-,80000,80000,80000,80000,80000,80000,1
385,PCFCSAU060F,"Фенол синтетический технический марка А, Самара-группа
станций (ст. отправления)","Самара-группа
станций",60,4800000,-,-,80000,80000,80000,80000,80000,80000,1
386,PCFCSAU060S,"Фенол синтетический технический марка А, Самара-группа
станций (самовывоз ж/д)","Самара-группа
станций",-,-,-,-,-,-,-,-,80000,-,-
387,PCFCUFM050F,"Фенол синтетический технический марка А (1 лот = 50 т), Уфа-
группа станций (ст. отправления)",Уфа-группа станций,200,16000000,-,-,80000,80000,80000,80000,80000,80000,4
388,PCFCUFM060F,"Фенол синтетический технический марка А, Уфа-группа
станций (ст. отправления)",Уфа-группа станций,-,-,-,-,-,-,-,-,80000,77500,-
389,PCFJPRU034F,"Фракция изобутановая марка высшая, ст. Приютово (ст.
отправления)",ст. Приютово,-,-,-,-,-,-,-,-,-,25100,-
390,PCFJTUJ034F,"Фракция изобутановая марка высшая, ст. Туймазы (ст.
отправления)",ст. Туймазы,-,-,-,-,-,-,-,-,-,25000,-
391,PCFKKHH035F,"Фракция изобутановая марка А, ст. Кульшарипово (ст.
отправления)",ст. Кульшарипово,35,1190000,-,-,34000,34000,34000,34000,34000,34010,1
392,PCFKNPT025A,"Фракция изобутановая марка А, ТАНЕКО (самовывоз
автотранспортом)",ТАНЕКО,-,-,-,-,-,-,-,-,34000,-,-
393,PCFKPDK035F,"Фракция изобутановая марка А, Предкомбинатская-группа
станций (ст. отправления)","Предкомбинатская-
группа станций",-,-,-,-,-,-,-,35500,34000,33500,-
394,PCFKSAU035F,"Фракция изобутановая марка А, Самара-группа станций (ст.
отправления)","Самара-группа
станций",-,-,-,-,-,-,-,-,-,25600,-
395,PCFKUPR025A,"Фракция изобутановая марка А, Татнефтегазпереработка
(самовывоз автотранспортом)","Татнефтегазперераб
отка",-,-,-,-,-,-,-,-,35500,-,-
396,PCFLSBL040F,"Фракция пропан-пропиленовая, ст. Соболеково (ст.
отправления)",ст. Соболеково,-,-,-,-,-,-,-,-,-,18000,-
397,PCFORYY010A,"Нефрас С2-80/120, СННА РНК (самовывоз автотранспортом)",СННА РНК,70,8120000,-30,"-0,03",116000,116000,116000,116000,116000,116000,7
398,PCFPANK060F,"Фракция жидких продуктов пиролиза С9, Ангарск-группа
станций (ст. отправления)","Ангарск-группа
станций",60,720000,-,-,12000,12000,12000,12000,12000,12000,1
399,PCFRKHH035F,"Фракция пропановая, ст. Кульшарипово (ст. отправления)",ст. Кульшарипово,-,-,-,-,-,-,-,-,32000,26000,-
400,PCFRKHU035F,"Фракция пропановая, ст. Каучук (ст. отправления)",ст. Каучук,-,-,-,-,-,-,-,-,-,8888,-
401,PCFVRYY010A,"Нефрас П1-63/75, СННА РНК (самовывоз автотранспортом)",СННА РНК,-,-,-,-,-,-,-,-,-,160780,-
402,PCFVSTI050F,"Нефрас П1-63/75, ст. Стенькино II (ст. отправления)",ст. Стенькино II,-,-,-,-,-,-,-,-,-,150000,-
403,PCFXUFM060F,"Жидкие продукты пиролиза фракции 35-230С и 32-320С марка
Е-5, Уфа-группа станций (ст. отправления)",Уфа-группа станций,-,-,-,-,-,-,-,-,37000,25000,-
404,PCF6SAU060F,"Фракция этилбензольная, Самара-группа станций (ст.
отправления)","Самара-группа
станций",-,-,-,-,-,-,-,-,-,50000,-
405,PCGGNPT005A,"Сера техническая газовая гранулированная сорт 9998 (ТУ
2010), ТАНЕКО (самовывоз а/т)",ТАНЕКО,-,-,-,-,-,-,-,-,44000,-,-
406,PCGGPDK069F,"Сера техническая газовая гранулированная сорт 9998,
Предкомбинатская-группа станций (ст. отправления)","Предкомбинатская-
группа станций",207,9108000,-67,"-0,15",44000,44000,44000,44000,44000,44000,2
407,PCIAKII040S,"Изобутан марка А, ст. Кириши (самовывоз ж/д)",ст. Кириши,-,-,-,-,-,-,-,-,-,25500,-
408,PCIEUFM038F,"Фракция бутилен-бутадиеновая, Уфа-группа станций (ст.
отправления)",Уфа-группа станций,-,-,-,-,-,-,-,-,-,40000,-
409,PCKPPUF005A,"Каучук СКЭПТ-40, (1 лот = 5 т), Уфаоргсинтез (самовывоз
автотранспортом)",Уфаоргсинтез,-,-,-,-,-,-,-,-,-,230001,-
410,PCKROTA025A,"Кокс пековый, ТАИФ-НК (самовывоз автотранспортом)",ТАИФ-НК,-,-,-,-,-,-,-,-,500,-,-
411,PCLTSLF020A,"Парафин нефтяной твердый марка П-2 (брикет) ,
Ярославнефтеоргсинтез (самовывоз автотранспортом)","Ярославнефтеоргсин
тез",-,-,-,-,-,-,-,-,110600,-,-
412,PCL2BHF020A,"Парафин нефтяной твердый марка Т-2 (поставка наливом),
Башнефть-Новойл (самовывоз автотранспортом)",Башнефть-Новойл,-,-,-,-,-,-,-,-,62800,-,-
413,PCMCUFM042S,"Альфа-метилстирол, Уфа-группа станций (самовывоз ж/д)",Уфа-группа станций,-,-,-,-,-,-,-,-,-,80000,-
414,PCM1ANK028F,"Монометиламин технический, Ангарск-группа станций (ст.
отправления)","Ангарск-группа
станций",-,-,-,-,-,-,-,-,130000,-,-
415,PCM4NVY060F,"Маловязкая углеводородная основа для буровых растворов,
ст. Новоярославская (ст. отправления)",ст. Новоярославская,-,-,-,-,-,-,-,-,107700,-,-
416,PCOKANK060F,"Остаток кубовый производства бутиловых спиртов (РПС-67),
Ангарск-группа станций (ст. отправления)","Ангарск-группа
станций",-,-,-,-,-,-,-,-,-,25500,-
417,PCOSUGU033F,"Газы углеводородные сжиженные марок ПА или ПТ, БП (б.т.ц.)
Сургут (ст. отправления)",БП (б.т.ц.) Сургут,132,2628945,551,"2,77",19365,19916,20300,19916,19365,20300,4
418,PCO2SAU060F,"Растворитель асфальтеносмолопарафинистых отложений
марка РАСПО 2, Самара-группа станций (ст. отправления)","Самара-группа
станций",-,-,-,-,-,-,-,-,52372,-,-
419,PCPCANG010A,"Газы углеводородные сжиженные марка ПБТ, Ангарская НХК
(самовывоз автотранспортом)",Ангарская НХК,-,-,-,-,-,-,-,-,-,31500,-
420,PCPCANK034F,"Газы углеводородные сжиженные марка ПБТ, Ангарск-группа
станций (ст. отправления)","Ангарск-группа
станций",136,4627434,290,"0,85",33735,34025,34500,34025,33735,35000,4
421,PCPCBUP010A,"Газы углеводородные сжиженные марка ПБТ, Бузулукское
ГПП (Покровская УКПГ) (самовывоз автотранспортом)","Бузулукское ГПП
(Покровская УКПГ)",10,277790,-,-,27779,27779,27779,27779,27779,27779,1
422,PCPCDZM032F,"Газы углеводородные сжиженные марка ПБТ, ст. Дземги (ст.
отправления)",ст. Дземги,-,-,-,-,-,-,-,-,-,33700,-
423,PCPCGPE020A,"Газы углеводородные сжиженные марка ПБТ, ГНС Торопец
(самовывоз автотранспортом)",ГНС Торопец,-,-,-,-,-,-,-,-,40000,-,-
424,PCPCKEC036S,"Газы углеводородные сжиженные марка ПБТ, ст. Клещиха
(самовывоз ж/д)",ст. Клещиха,-,-,-,-,-,-,-,-,-,17800,-
425,PCPCKHU035F,"Газы углеводородные сжиженные марка ПБТ, ст. Каучук (ст.
отправления)",ст. Каучук,-,-,-,-,-,-,-,-,-,22106,-
426,PCPCKHU035J,"Газы углеводородные сжиженные марка ПБТ, ст. Каучук (ст.
отправления ОТП)",ст. Каучук,-,-,-,-,-,-,-,-,-,21000,-
427,PCPCKOB036F,"Газы углеводородные сжиженные марка ПБТ, ст.
Комбинатская (ст. отправления)",ст. Комбинатская,36,781200,200,"0,92",21700,21700,21700,21700,21700,21700,1
428,PCPCKTH034F,"Газы углеводородные сжиженные марка ПБТ, ст. Коротчаево
(ст. отправления)",ст. Коротчаево,306,6418044,818,"3,9",20156,20974,21230,20974,20156,21301,9
429,PCPCLET035F,"Газы углеводородные сжиженные марка ПБТ, ст. Лена-
Восточная (ст. отправления)",ст. Лена-Восточная,-,-,-,-,-,-,-,-,40000,-,-
430,PCPCLUP036F,"Газы углеводородные сжиженные марка ПБТ, Пермь (ст.
отправления)",Пермь,-,-,-,-,-,-,-,-,-,19006,-
431,PCPCNPT018A,"Газы углеводородные сжиженные марка ПБТ, ТАНЕКО
(самовывоз автотранспортом)",ТАНЕКО,-,-,-,-,-,-,-,28000,28000,-,-
432,PCPCNVO010A,"Газы углеводородные сжиженные марка ПБТ,
Новокуйбышевская НХК (самовывоз автотранспортом)","Новокуйбышевская
НХК",10,302580,-,-,30258,30258,30258,30258,30258,30258,1
433,PCPCNVY034F,"Газы углеводородные сжиженные марка ПБТ, ст.
Новоярославская, (ст. отправления)",ст. Новоярославская,272,7767028,193,"0,68",28029,28555,29080,28555,28029,30000,8
434,PCPCOSN038J,"Газы углеводородные сжиженные марка ПБТ, ст. Осенцы (ст.
отправления ОТП)",ст. Осенцы,380,8618400,-290,"-1,28",22200,22680,23200,22680,22200,23200,10
435,PCPCPRU035F,"Газы углеводородные сжиженные марка ПБТ, ст. Приютово
(ст. отправления)",ст. Приютово,210,5546695,401,"1,52",26330,26413,26555,26413,26012,26555,6
436,PCPCSAU035F,"Газы углеводородные сжиженные марка ПБТ, Самара-группа
станций (ст. отправления)","Самара-группа
станций",490,13413365,-170,"-0,62",27000,27374,27600,27374,27000,27620,14
437,PCPCSKP010A,"Газы углеводородные сжиженные марка ПБТ, ШГПП
Шкаповское производство (самовывоз автотранспортом)","ШГПП Шкаповское
производство",-,-,-,-,-,-,-,-,-,24000,-
438,PCPCSTI034F,"Газы углеводородные сжиженные марка ПБТ, ст. Стенькино II
(ст. отправления)",ст. Стенькино II,170,5215328,5,"0,02",30673,30678,30700,30678,30673,31000,5
439,PCPCTEH020A,"Газы углеводородные сжиженные марка ПБТ, Терминал по
хранению и отгрузке ПБТ с. Нагорное (самовывоз
автотранспортом)","Терминал по
хранению и отгрузке
ПБТ с. Нагорное",80,2000000,-,-,25000,25000,25000,25000,25000,27000,2
440,PCPCTOB036F,"Газы углеводородные сжиженные марка ПБТ, ст. Тобольск (ст.
отправления)",ст. Тобольск,-,-,-,-,-,-,-,-,-,20000,-
441,PCPCTOB036J,"Газы углеводородные сжиженные марка ПБТ, ст. Тобольск (ст.
отправления ОТП)",ст. Тобольск,4572,96403356,564,"2,67",20807,21086,21600,21086,19000,21600,28
442,PCPCTUJ035F,"Газы углеводородные сжиженные марка ПБТ, ст. Туймазы (ст.
отправления)",ст. Туймазы,70,1808100,441,"1,71",25720,25830,25940,25830,25389,25940,2
443,PCPCTYP034F,"Газы углеводородные сжиженные марка ПБТ, ст. Тюльпан (ст.
отправления)",ст. Тюльпан,204,5464718,86,"0,32",26702,26788,26920,26788,26702,27000,6
444,PCPCUPR018A,"Газы углеводородные сжиженные марка ПБТ,
Татнефтегазпереработка (самовывоз автотранспортом)","Татнефтегазперераб
отка",-,-,-,-,-,-,-,28000,27000,26000,-
445,PCPCYAI035F,"Газы углеводородные сжиженные марка ПБТ, ст. Яничкино
(ст. отправления)",ст. Яничкино,-,-,-,-,-,-,-,25650,-,27505,-
446,PCPUUFM034F,"Фракция пропан-пропиленовая марка А, Уфа-группа станций
(ст. отправления)",Уфа-группа станций,68,1388016,243,"1,19",20169,20412,20655,20412,20169,21005,2
447,PCQBDZM061F,"Сера техническая газовая гранулированная сорт 9995 марка
B, ст. Дземги (ст. отправления)",ст. Дземги,-,-,-,-,-,-,-,-,-,1,-
448,PCRIKHH035F,"Газы углеводородные сжиженные марка ПТ, ст. Кульшарипово
(ст. отправления)",ст. Кульшарипово,35,875000,-,-,25000,25000,25000,25000,25000,25000,1
